pay_stay_zone,street,between_street_1,between_street_2,street_segment_id
30001001,ARGYLE PLACE SOUTH,LYGON STREET,CARDIGAN STREET,20751
30001002,BARRY STREET,LEICESTER STREET,PELHAM STREET,20476
30001003,BARRY STREET,PELHAM STREET,LEICESTER STREET,20476
30001005,BARRY STREET,GRATTAN STREET,PELHAM STREET,20480
30001006,BARRY STREET,PELHAM STREET,GRATTAN STREET,20480
30001007,BARRY STREET,PELHAM STREET,LEICESTER STREET,20476
30001008,BARRY STREET,LEICESTER STREET,PELHAM STREET,20476
30001009,BERKELEY STREET,GRATTAN STREET,PELHAM STREET,20474
30001010,BERKELEY STREET,LEICESTER STREET,QUEENSBERRY STREET,20456
30001012,BERKELEY STREET,PELHAM STREET,QUEENSBERRY STREET,20472
30001014,BOUVERIE STREET,GRATTAN STREET,LINCOLN SQUARE NORTH,20468
30001015,BOUVERIE STREET,LINCOLN SQUARE SOUTH,PELHAM STREET,22503
30001016,BOUVERIE STREET,LINCOLN SQUARE NORTH,GRATTAN STREET,20468
30001015,BOUVERIE STREET,LINCOLN SQUARE NORTH,PELHAM STREET,22504
30001015,BOUVERIE STREET,QUEENSBERRY STREET,LINCOLN SQUARE SOUTH,20464
30001019,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462
30001020,BOUVERIE STREET,LINCOLN SQUARE SOUTH,QUEENSBERRY STREET,20464
30001021,BOUVERIE STREET,QUEENSBERRY STREET,LINCOLN SQUARE SOUTH,20464
30001022,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462
30001023,LEICESTER STREET,VICTORIA STREET,BERKELEY STREET,20453
30001023,LEICESTER STREET,BERKELEY STREET,QUEENSBERRY STREET,20455
30001024,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462
30001025,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462
30001026,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462
30001027,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462
30001028,CARDIGAN STREET,ARGYLE PLACE NORTH,GRATTAN STREET,20512
30001029,CARDIGAN STREET,GRATTAN STREET,ARGYLE PLACE NORTH,20512
30001030,CARDIGAN STREET,ARGYLE PLACE SOUTH,PELHAM STREET,20508
30001031,CARDIGAN STREET,PELHAM STREET,ARGYLE PLACE SOUTH,20508
30001031,CARDIGAN STREET,ARGYLE PLACE NORTH,PELHAM STREET,20509
30001033,CARDIGAN STREET,ARGYLE PLACE NORTH,PELHAM STREET,20509
30001034,CARDIGAN STREET,FARADAY STREET,GRATTAN STREET,20514
30001035,CARDIGAN STREET,QUEENSBERRY STREET,VICTORIA STREET,20504
30001036,CARDIGAN STREET,GRATTAN STREET,FARADAY STREET,20514
30001040,CARDIGAN STREET,ARGYLE PLACE SOUTH,QUEENSBERRY STREET,20506
30001041,CARDIGAN STREET,QUEENSBERRY STREET,ARGYLE PLACE SOUTH,20506
30001042,CARDIGAN STREET,VICTORIA STREET,QUEENSBERRY STREET,20504
30001043,CARDIGAN STREET,VICTORIA STREET,QUEENSBERRY STREET,20504
30001044,CEMETERY ROAD EAST,CARDIGAN STREET ,LYGON STREET,15514
30001044,CEMETERY ROAD EAST ,CARDIGAN STREET ,SWANSTON STREET,15500
30001045,FARADAY STREET,SWANSTON STREET,CARDIGAN STREET,20812
30001046,GRATTAN STREET,BOUVERIE STREET,LEICESTER STREET,20848
30001047,GRATTAN STREET,SWANSTON STREET,CARDIGAN STREET,22506
30001048,GRATTAN STREET,CARDIGAN STREET,LYGON STREET,20757
30001049,KAY STREET,CANNING STREET,RATHDOWNE STREET,20573
30001050,LEICESTER STREET,BERKELEY STREET,QUEENSBERRY STREET,20455
30001051,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460
30001052,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460
30001053,KAY STREET,CANNING STREET,RATHDOWNE STREET,20573
30001054,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460
30001055,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458
30001056,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458
30001057,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458
30001058,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458
30001059,LINCOLN SQUARE SOUTH,SWANSTON STREET,BOUVERIE STREET,20838
30001060,LINCOLN SQUARE NORTH,SWANSTON STREET,BOUVERIE STREET,20839
30001061,LINCOLN SQUARE NORTH,SWANSTON STREET,BOUVERIE STREET,20839
30001062,LINCOLN SQUARE SOUTH,BOUVERIE STREET,SWANSTON STREET,20838
30001064,LINCOLN SQUARE SOUTH,BOUVERIE STREET,SWANSTON STREET,20838
30001065,LYGON STREET,ARGYLE PLACE NORTH,PELHAM STREET,20528
30001066,LYGON STREET,QUEENSBERRY STREET,ARGYLE PLACE SOUTH,20524
